type,start_time,end_time,duration,duration_unit,total_distance,total_energy_burned,avg_heart_rate,min_heart_rate,max_heart_rate,avg_mets,temperature,humidity,elevation_ascended,num_segments
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeRunning,2024-09-24 12:09:09+09:00,2024-09-24 12:52:37+09:00,43.46666666666667,min,4.496791,186.4039,139.84083072448462,94.0,172.0,7.412564130618953,,,1242.0,11
HKWorkoutActivityTypeRunning,2024-09-25 12:23:58+09:00,2024-09-25 12:47:00+09:00,23.00342410802841,min,3.03904,124.741,151.38,122.0,168.0,8.02649,,,952.0,9
HKWorkoutActivityTypeHiking+HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeHiking,2024-09-27 11:49:16+09:00,2024-09-27 12:36:32+09:00,47.266666666666666,min,3.9481849999999996,282.9991,155.73713114723103,113.0,175.0,8.431274587935942,,,27486.0,18
HKWorkoutActivityTypeWalking,2024-09-28 15:31:14+09:00,2024-09-28 15:53:35+09:00,22.35949959158897,min,1.40443,44.094,85.6505,67.0,105.0,3.60188,,,0.0,3
HKWorkoutActivityTypeWalking,2024-10-27 10:44:27+09:00,2024-10-27 10:54:35+09:00,10.13893273274104,min,0.712402,42.9326,116.527,83.0,141.0,6.41151,,,0.0,1
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeHiking+HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeHiking,2024-10-28 11:27:23+09:00,2024-10-28 12:23:45+09:00,56.36666666666667,min,4.76402,296.0143,159.4655036078905,92.0,179.0,9.056046358431244,,,29486.0,11
HKWorkoutActivityTypeWalking+HKWorkoutActivityTypeRunning,2024-10-29 12:08:29+09:00,2024-10-29 12:47:10+09:00,38.68333333333333,min,4.19887,159.74360000000001,133.86673728113144,89.0,176.0,7.290157838437189,,,0.0,12
HKWorkoutActivityTypeRunning,2024-10-30 12:22:40+09:00,2024-10-30 12:43:23+09:00,20.68803557157516,min,3.01989,127.089,161.123,130.0,179.0,9.09129,,,284.0,9
HKWorkoutActivityTypeRunning,2024-10-31 12:35:28+09:00,2024-10-31 12:55:47+09:00,20.30963171720505,min,3.01496,125.967,151.987,90.0,167.0,9.13375,,,280.0,7
HKWorkoutActivityTypeHiking+HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeHiking,2024-11-01 11:48:24+09:00,2024-11-01 12:28:52+09:00,40.46666666666667,min,3.659707,255.87329999999997,152.97768072272714,109.0,176.0,9.448147082158108,,,28320.0,8
HKWorkoutActivityTypeWalking,2024-11-01 13:06:37+09:00,2024-11-01 13:16:48+09:00,10.18899662693341,min,0.837254,33.33,104.986,99.0,112.0,4.6707,,,0.0,1
HKWorkoutActivityTypeHiking+HKWorkoutActivityTypeRunning+HKWorkoutActivityTypeHiking,2024-11-04 11:51:16+09:00,2024-11-04 12:32:10+09:00,40.9,min,3.7531359999999996,260.1398,159.01915028209888,110.0,177.0,9.303680932525157,,,27891.0,6
HKWorkoutActivityTypeWalking,2024-11-04 21:45:07+09:00,2024-11-04 21:55:16+09:00,10.15505148172378,min,0.824377,22.9757,87.331,84.0,92.0,4.47719,48.272,61.0,0.0,1
HKWorkoutActivityTypeRunning,2024-11-05 12:36:19+09:00,2024-11-05 12:56:37+09:00,20.30014744997025,min,3.07737,130.721,156.364,137.0,167.0,9.49775,,,0.0,7
